title,description,appears on,artist,writers,producer,released,streak
Just My Imagination,"Eddie Kendricks, who'd sung lead on the Temptations' first hit, ""The Way You Do the Things You Do"" in 1964, took his last lead as a Tempt. By the time the song hit Number One, Kendricks had left the group for a solo career. But he gave this one his all: Tempt Otis Williams said he left the studio at 6 a.m. the night they cut it, and Kendricks was still there, working out his part.",Anthology (Motown),The Temptations,"Norman Whitfield, Barrett Strong",Whitfield,"Jan. '71, Gordy",15 weeks; No. 1
Roxanne,"""That song has been the turnaround for us,"" Stewart Copeland told Rolling Stone. Sting came up with the idea for the song while wandering around the red-light district of Paris after a canceled show, wondering what it would be like to be in love with a prostitute. The title came from a poster for the play Cyrano de Bergerac — featuring a heroine named Roxanne — in the band's hotel lobby in Paris.",Outlandos d'Amour (Interscope),The Police,Sting,The Police,"Jan '79, A&M",13 weeks; No. 32
Tiny Dancer,"Lyricist Taupin wrote this 1971 song about his first wife, Maxine Feibelman, who really was a seamstress for John's band and obviously did marry a music man. John's skyrocketing melody got a little help from Paul Buckmaster's strings and from Rick Wakeman, soon to join prog-rockers Yes, who played organ. ""Tiny Dancer"" was revived in the 2000 film Almost Famous.",Madman Across the Water (Island),Elton John,"John, Bernie Taupin",Gus Dudgeon,"Nov. '71, Uni",7 weeks; No. 41
Know You Got Soul,"Rakim was the microphone fiend who was dripping steam. Eric B. was the DJ with the James Brown samples. They were New York legends before ever releasing a song (""Eric B. was driving a Rolls-Royce before he ever put out a record,"" Chris Rock once told Rolling Stone. ""My man was gangsta""), but this cut, named for a 1971 song by Brown sideman Bobby Byrd, made the whole world take notice.",Paid in Full (Island),Eric B. and Rakim,Eric B. and Rakim,Eric B. and Rakim,"July '87, 4th and Broadway",Did Not Chart
Stills,"On May 4th, 1970, the National Guard killed four protesters at Kent State University in Ohio. Young wrote a fiery indictment of the shootings, and CSNY cut their version of the song just 11 days after the tragedy, then rush-released it, knocking their own ""Teach Your Children"" off the charts. ""David Crosby cried when we finished this take,"" said Young.",Decade (Reprise),Crosby,Neil Young,"Crosby, Stills, Nash, Young","June '70, Atlantic",9 weeks; No. 14
Ticket to Ride,"Lennon claimed that this composition of his was the first heavy-metal song. For his part, McCartney played lead guitar. ""We almost invented the idea of a new bit of a song on the fade-out,"" he said of ""Ticket."" ""It was quite radical at the time.""",Help! (Capitol/Apple),The Beatles,"John Lennon, Paul McCartney",George Martin,"April '65, Capitol",11 weeks; No. 1
Whipping Post,"This anthem was written on an ironing board in a darkened Florida bedroom by Allman. Punctuated by Duane Allman's knifelike guitar incisions, the song is best appreciated in the 23-minute incarnation on At Fillmore East.",At Fillmore East (Mercury),The Allman Brothers Band,Gregg Allman,Tom Dowd,"Nov. '69, Capricorn",Non-single
Bitter Sweet Symphony,"Since it used a sample from an orchestral version of the Rolling Stones' ""The Last Time,"" this song was credited to Jagger–Richards. But Allen Klein, who owned the ""Last Time"" rights, broke an agreement and demanded 100 percent of the royalties. Ashcroft called it the best song the Stones had written in 20 years.",Urban Hymns (Virgin),The Verve,"Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin",20 weeks; No. 12
Tell It Like It Is,"""I heard 'Tell It Like It Is' and I said, 'Bro, this is the shit right here,'"" said Art Neville. Aaron was working as a longshoreman when he cut this sublime ballad. He originally felt something so sweet wouldn't catch on in an era of gritty R&B. ""A lot of people come up to me and say, 'That song got me and my wife together,'"" he recalled. ""And others say, 'It broke me and my wife up.'""",Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,"George Davis, Lee Diamond",Davis,"Nov. '66, Par Lo",14 weeks; No. 2
Goodbye Yellow Brick Road,"Inspired by the Rolling Stones' Goats Head Soup, John and lyricist Taupin went to Kingston, Jamaica, to record John's sixth album. ""The studio was surrounded by barbed wire,"" said Taupin, ""and there were guys with machine guns."" Too scared to leave their hotel, the duo wrote 21 songs in three days, including ""Goodbye Yellow Brick Road.""",Goodbye Yellow Brick Road (Island),Elton John,"John, Bernie Taupin",Gus Dudgeon,"Sept. '73, MCA",17 weeks; No. 2
Radio Free Europe,"""We hated it,"" said Peter Buck of the sound on the first version of ""Europe,"" on indie label Hib-Tone. ""It was mastered by a deaf man, apparently."" R.E.M. rerecorded it for Murmur, with a richer melody and tighter rhythm — ""like Motown,"" Buck recalled. Michael Stipe mumbled his lyrics — a vague riff on U.S. cultural imperialism — because he hadn't finished writing them when it was time to record.",Murmur (A&M),R.E.M.,R.E.M.,"Mitch Easter, Don Dixon","July '83, I.R.S.",5 weeks; No. 78
Pride (In the Name of Love),"The chords came from a 1983 soundcheck in Hawaii; the lyrics about Martin Luther King Jr. were inspired by an exhibit at Chicago's Peace Museum. With backing vocals by Pretenders singer Chrissie Hynde (credited as Mrs. Christine Kerr; she was married to Jim Kerr of Simple Minds at the time), the result was the band's first Top 40 hit.",The Unforgettable Fire (Island),U2,"Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island",15 weeks; No. 33
Hit the Road Jack,"Charles asked Mayfield, a one-time R&B hitmaker whose performing career was curtailed by a car accident in 1952, if he had any songs for Charles to record. Mayfield offered up ""Hit the Road Jack."" The snarling female vocal was provided by Margie Hendricks of the Raelettes. Hendricks' affair with Charles produced a son in 1959; Charles fired her from the Raelettes in 1964.",Ultimate Hits Collection (Rhino),Ray Charles,Percy Mayfield,Sid Feller,"Sept. '61, ABC-Paramount",11 weeks; No. 1
Maps,"""Maps"" is both a soul ballad and an art-punk classic, with torrents of jagged guitar noise and thundering drums backing up Karen O's lovesick wail. The YYY's breakthrough hit was inspired by a case of real-life rock & roll romance: The Divine Miss O (real name Karen Orzolek) wrote the song about being on tour and missing her boyfriend, Angus Andrew, singer for fellow New York band Liars.",Fever to Tell (Interscope),Yeah Yeah Yeahs,Yeah Yeah Yeahs,David Andrew Sitek,"Feb. '04, Interscope",13 weeks; No. 87
Fake Plastic Trees,"Radiohead frontman Thom Yorke would describe ""Fake Plastic Trees"" as the song on which he found his lyrical voice. He cut the vocal, accompanying himself on acoustic guitar, in one take, then the band filled in its parts around him. Yorke said the song began as ""a very nice melody which I had no idea what to do with, then you wake up and find your head singing some words to it.""",The Bends (Capitol),Radiohead,Radiohead,John Leckie,"March '95, Capitol",4 weeks; No. 65
Another Brick in the Wall Part 2,"Waters' attack on teachers who practice ""dark sarcasm in the classroom"" was inspired by his own schoolmasters. ""The school I was at — they were really like that,"" Waters said. ""[All] they had to offer was their own bitterness and cynicism."" There are three versions of ""Another Brick"" on The Wall, but ""Part 2"" was the hit.",The Wall (Capitol),Pink Floyd,Roger Waters,"Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia",25 weeks; No. 1
Brown Eyed Handsome Man,"Berry was inspired to write this song while he was touring through heavily black and Latino areas of California. As Berry put it, ""I didn't see too many blue eyes."" He did see a good-looking Chicano nabbed for loitering until ""some woman came up shouting for the policeman to let him go."" Over a manic guitar lick, the song spins a riotous tale about a dark-eyed loverman.",The Anthology (Chess),Chuck Berry,Berry,"Leonard Chess, Phil Chess","Sept. '56, Chess",Did Not Chart
Wonderful World,"Cooke was rooming with Adler, who had already finished this song when Cooke came up with the academic conceit that made it work. Cut while Cooke was still signed to Keen, it sat around until he'd moved to RCA — then sold a million. Before it came out, Cooke liked to sing it for women he met, telling them he'd made it up on the spot just for them.",Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,"Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA",15 weeks; No. 12
Marquee Moon,"""Marquee Moon"" is Television's guitar epic; Verlaine and Richard Lloyd stretch out for 10 minutes of urban paranoia. ""I would play until something happened,"" Verlaine said. ""That comes from jazz, or even the Doors, or the Five Live Yardbirds album — that kinda rave-up dynamics.""",Marquee Moon (Elektra),Television,Tom Verlaine,Andy Johns,"Feb. '77, Elektra",Did Not Chart
I Cant Explain,"For their debut single, the Who recorded Townshend's alleged answer to the Kinks' blazing ""You Really Got Me."" The Who even hired that song's producer, Talmy, who recruited additional players for the recording, among them Jimmy Page, who contributed rhythm guitar.",The Ultimate Collection (MCA),The Who,Pete Townshend,Shel Talmy,"March '65, Decca",2 weeks; No. 93
The Wind Cries Mary,"A dish-smashing argument with his girlfriend left Hendrix alone to scrawl the words to ""The Wind Cries Mary"" in January 1967. A few days later, the guitarist taught the uncharacteristically tender ballad — built around a gentle riff inspired by soul man Curtis Mayfield — to the Experience. The trio knocked out the track in 20 minutes.",Are You Experienced? (MCA),The Jimi Hendrix Experience,Hendrix,Chas Chandler,"May '67, Reprise",8 weeks; No. 65
Im a Man,"The B side of Diddley's first single was built around a four-note guitar stomp that was a trademark of mid-Fifties Chicago blues. Songwriter Willie Dixon, who supervised the 1955 session, said it was Diddley's sense of rhythm that set him apart from everyone else at Chess: ""The drums are speaking, and he'll tell you what the drums are saying.""",His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,Diddley,Leonard Chess,"June '55, Checker",Did Not Chart
Personal Jesus,"Depeche Mode's breakthrough single was based on a surprising source: Priscilla Presley's book Elvis and Me. ""It's about how Elvis was her man and her mentor and how often that happens in love relationships,"" Gore said. ""How everybody's heart is like a god in some way.""",Violator (Sire),Depeche Mode,Martin Gore,"Depeche Mode, Flood","Nov. '89, Sire",20 weeks; No. 28
White Room,"Powered by Eric Clapton's wah-wah work, the song's unnerving psychedelic imagery came from Brown, emerging from a period of drug and alcohol excess. ""It was in my white-painted room that I had the horrible drug experience that made me want to stop everything,"" he said.",Wheels of Fire (Polygram),Cream,"Pete Brown, Jack Bruce",Felix Pappalardi,"Aug. '68, Atco",11 weeks; No. 6
How Deep Is Your Love,"The first single from Saturday Night Fever wasn’t a disco track but this slow jam. It went to Number One in December 1977, and the Bee Gees then controlled the top spot for 15 of the next 20 weeks. The song was originally intended for Yvonne Elliman, who had her own Number One with “If I Can’t Have You.”",Saturday Night Fever (Polygram),Bee Gees,Bee Gees,"Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO",33 weeks; No. 1 
Unchained Melody,"This song first hit the charts in 1955, when three different versions of it landed in the Top 10. The Righteous Brothers picked up the torch in 1965, making it the B side to their single ""Hung on You."" When DJs began playing ""Unchained Melody"" instead, Spector decided the duo should put out only covers of pre-rock pop songs as its singles; their version of Sinatra’s ""Ebb Tide"" also hit big.",Anthology 1962-1974 (Rhino),The Righteous Brothers,"Alex North, Hy Zaret",Phil Spector,"July '65, Philles",13 weeks; No. 4
Highway 61 Revisited,"""Highway 61 begins about where I came from,"" Dylan writes in Chronicles. ""Duluth, to be exact."" The road runs through the heart of America — and so does the song. It’s Dylan at his wildest, both musically and lyrically, topping the band's roadhouse stomp with his surreal cosmic jokes. The police-siren whistle was courtesy of session man Al Kooper.",Highway 61 Revisited (Columbia),Bob Dylan,Dylan,Bob Johnston,"Aug. '65, Columbia",Did not chart
The Letter,"On ""The Letter,"" Alex Chilton moans like a gruff soul man, though he was just 16. He credited the performance to his producer, Memphis legend Penn. ""[He] coached me pretty heavily on singing anything we ever did,"" Chilton said. “In a lot of cases, it sounds more like him singing than it sounds like me.” Chilton went on to front Big Star but participated in Box Tops reunion tours until his death in 2010.",The Letter (Sundazed),The Box Tops,Wayne Carson Thompson,Dan Penn,"July '67, Mala",16 weeks; No. 1
Complete Control,"The Clash were hardcore reggae fans, so it was natural they would want to work with legendary dub producer Perry. But the resulting single wasn’t dub at all — it was the Clash’s toughest, noisiest punk anthem, with Mick Jones cranking the guitar to ear-bleeding levels. ""Complete Control,"" a U.K. hit in the fall of 1977, was appended to the American version of the band's debut album.",The Clash (Epic),The Clash,"Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic",Non-single 
All You Need is Love,"Twenty-four days after the release of Sgt. Pepper, the Beatles represented England on the six hour TV show Our World, a satellite broadcast seen by 400 million. ""All You Need Is Love"" was the simple message they wanted to send to the world. ""It was for love and bloody peace,"" Ringo Starr said. The backing choir on the single included Mick Jagger, Keith Moon and Donovan.",Magical Mystery Tour (Capitol),The Beatles,"John Lennon, Paul McCartney",George Martin,"July '67, Capitol",11 weeks; No. 1
Killing Me Softly With His Song,"Inspired by a Don McLean gig at L.A.'s Troubadour, folk singer Lori Lieberman took her idea for the song to Gimbel and Fox. Flack later heard Lieberman’s recording on an in-flight radio station and ""absolutely freaked,"" she said.",Killing Me Softly (Atlantic),Roberta Flack,"Norman Gimbel, Charles Fox",Joel Dorn,"Jan '73, Atlantic",16 weeks; No. 1
Got My Mojo Working,"Waters made his version of ""Mojo"" after hearing R&B singer Ann Coleper form it while they toured together in 1956. He retooled the rhythm and lyrics, turning it into a speedy howl about voodoo and sexual power.",The Anthology (Chess/MCA),Muddy Waters,Preston Foster,"Phil Chess, Leonard Chess, Willie Dixon","1957, Chess",Did not chart
Nowhere to Run,"Martha Reeves was working as a secretary for A&R man Mickey Stevenson at Motown when Mary Wells missed a session date; Reeves stepped in for her and eventually became a star. Her wail makes ""Nowhere to Run"" a scary tale of obsessive love; the heavy percussion was enhanced with snow chains.",The Ultimate Collection (Motown),Martha and the Vandellas,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy",11 weeks; No. 8
Little Wing,"Blissed out from his appearance at Monterey Pop, Hendrix brought a delicate touch to this ballad at a 1967 London session. In a mere 145 seconds, he conjured a gossamer reverie. Hendrix played one of his most lyrical solos through a Leslie speaker cabinet (creating an oscillating sound) and later added glockenspiel to complete the mood.",Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,Hendrix,Chas Chandler,"Feb. '68, Reprise",Non-single
Sweet Dreams (Are Made of This),"""Sweet Dreams"" was a deceptively catchy single from two former lovers. ""The day Dave and I ended our romance, Eurythmics began,"" Annie Lennox told Rolling Stone. But the tense sessions for ""Sweet Dreams"" nearly ended their musical partnership. ""I was curled up in the fetal position,"" Lennox said. ""He programmed this rhythm. It sounded so good. In the end I couldn't resist it.""",Sweet Dreams (RCA),Eurythmics,"Annie Lennox, Dave Stewart",Stewart,"April '83, RCA",26 weeks; No. 1
Bad Moon Rising,"""This song is definitely not about astrology,"" Fogerty once joked. ""[It’s] scary, spooky stuff."" With violence at home and a war abroad, there was a bad moon on the rise, and CCR effortlessly tapped into the darkening national mood. The song had one of CCR’s catchiest swamp-rock riffs, an homage to Elvis Presley’s guitarist Scotty Moore that Fogerty wrote in high school.",Green River (Fantasy),Creedence Clearwater Revival,John Fogerty,Fogerty,"April '69, Fantasy",14 weeks; No. 2
Watching the Detectives,"In the summer of 1977, Costello was still an aspiring songwriter when he took the Clash’s debut back to his London flat and ""listened to it for 36 hours straight,"" he recalled. ""And I wrote 'Watching the Detectives.'"" Still, he maintained, ""I was never part of any punk-rock thing. I couldn't afford to go to nightclubs at night. I had a wife and kid, and I had to go to work.""",My Aim Is True (Rhino),Elvis Costello,Costello,Nick Lowe,"Nov. '77, Columbia",Did not chart
Tears in Heaven,"On March 20th, 1991, four-year old Conor Clapton died in a fall from an apartment window in New York. His father wrote the heartrending ""Tears in Heaven"" and ""The Circus Left Town"" for his son. ""They’re sweet little songs, almost like folk songs, and I feel the need to have people hear them,"" he told Rolling Stone. ""Tears"" anchored his 1992 MTV Unplugged set.","""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,"Clapton, Will Jennings",Russ Titelman,"Jan. '92, Duck/Reprise",26 weeks; No. 2
All Shook Up,"Songwriter Al Stanton walked up to Blackwell one day shaking a bottle of Pepsi and challenged him to write a song called ""All Shook Up."" Presley fell in love with the tune the first time he heard it and gave it the same freewheeling charm he had brought to Blackwell’s ""Don’t Be Cruel,"" even reprising the guitar-backslapping trick he’d used on that track. It worked: The song went on to sell 2 million copies.",Elvis 30 #1 Hits (RCA),Elvis Presley,"Otis Blackwell, Presley",Steve Sholes,"March '57, RCA",30 weeks; No. 1
The Great Pretender,"Heirs to the crooning style of the Ink Spots and the Mills Brothers, the Platters became the first R&B vocal group to top the pop charts, heralding the arrival of doo-wop. Ram, who also co-wrote ""Only You"" and ""Twilight Time,"" was pushing 50 when ""Pretender"" hit.",The Magic Touch: An Anthology (Mercury),The Platters,Buck Ram,Ram,"Dec. '55, Mercury",24 weeks; No. 1
The Loco-Motion,"At 17, Eva Boyd was hired to baby-sit King and Goffin’s newborn during recording sessions. One day they asked her to cut a demo for this song. ""There never was a dance called the loco-motion until it was a hit,"" King said. ""So Little Eva had to make up a dance.""",The Loco-Motion (Rhino),Little Eva,"Gerry Goffin, Carole King",Goffin,"June '62, Dimension",16 weeks; No. 1
Spanish Harlem,"Just split from the Drifters, King was eager to make an auspicious solo debut and insisted on cutting this rare collaboration between Spector and Leiber. (King grew up mere blocks from Spanish Harlem.) Spector said this was Lenny Bruce’s favorite song.",The Very Best of Ben E. King (Rhino),Ben E. King,"Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco",16 weeks; No. 10
That Lady (Part 1 and 2),"In 1969, the Isleys added younger brothers Ernie and Marvin, who had been put through music school by their older brothers. Ernie repaid the debt on ""That Lady"" with a guitar solo recalling onetime Isleys sideman Jimi Hendrix.",The Essential Isley Brothers (Legacy),The Isley Brothers,The Isley Brothers,The Isley Brothers,"July '73, T-Neck",20 weeks; No. 6
Candle in the Wind,"John’s Marilyn Monroe tribute was a U.K. hit in 1973, but in the U.S. the single release was canceled when DJs began playing ""Bennie and the Jets"" instead. A live version with the Melbourne Symphony Orchestra recorded in 1986 finally reached the U.S. charts, and a 1997 rerelease with new lyrics in honor of Princess Diana became the biggest-selling single of the 20th century.",Goodbye Yellow Brick Road (Island),Elton John,"John, Bernie Taupin",Gus Dudgeon,"Oct. '73, MCA",
California Love,"When 2Pac left jail in October 1995, after serving eight months for a sexual-assault conviction, Dre had a hit ready for him: a slice of West Coast funk, built around a Joe Cocker sample and a vocal from Zapp frontman Roger Troutman. “I don’t want it to be about violence,” 2Pac said seven months before he was shot dead. “I want it to be about money.”",Greatest Hits (Death Row),Dr. Dre and 2Pac,"Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac",Dr. Dre,"Feb. '96, Death Row",24 weeks; No. 6
La Bamba,"Valens' version of this traditional Mexican wedding song was originally the B side to his first hit, ""Donna."" ""La Bamba"" entered the Top 40 two weeks before the 17-yearold died in the same plane crash that killed Buddy Holly and the Big Bopper.",The Ritchie Valens Story (Rhino),Ritchie Valens,William Clauson,Bob Keane,"Oct. '58, Del-Fi",15 weeks; No. 22
Piece of My Heart,"The original was sung by Erma Franklin, Aretha’s sister. ""Erma’s 'Piece of Heart' had a delicacy and a sense of mystery that was just beyond us,"" said guitarist Sam Andrew. But what Big Brother did have was a raw, fearless singer named Janis Joplin.",Cheap Thrills (Columbia),Big Brother and the Holding Company,"Bert Berns, Jerry Ragovoy",John Simon,"Aug. ’68, CBS",12 weeks; No. 12
Jim Dandy,"Baker was a Chicago singer with a pedigree — her aunt was blues singer Memphis Minnie. Her big voice helped usher in the rock era on songs like ""Soul on Fire."" When white covers outsold her originals, she was so infuriated she wrote her congressman and even filed a lawsuit (neither worked). The swinging ""Jim Dandy"" was one of her sweetest hits.",Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,Lincoln Chase,"Ahmet Ertegun,Jerry Wexler","Dec. '56, Atlantic",19 weeks; No. 17
Runaround Sue,"Dion was a country-music fan and member of a gang called the Fordham Baldies when a family friend got him his first record deal. ""'Runaround Sue' was created at a neighborhood party,"" said Dion. This bluesy doo-wop single was Dion’s only Number One. For 47 years, he’s been married to his high school girl, Susan, but he claims the runaround girl was really named Roberta.",Runaround Sue (Capitol),Dion,"Dion DiMucci, Ernie Maresca",Gene Schwartz,"Sept. '61, Laurie",14 weeks; No. 1
Baby I Need Your Loving,"The Four Tops were playing a Detroit nightclub when they got a call from Brian Holland saying he had a song ready for them. After their show ended, they arrived at Hitsville at 2 a.m. to record ""Baby I Need Your Loving,"" which would become their first single for Motown.",The Ultimate Collection (Motown),The Four Tops,"Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown",12 weeks; No. 11
Just My Imagination,"Eddie Kendricks, who'd sung lead on the Temptations' first hit, ""The Way You Do the Things You Do"" in 1964, took his last lead as a Tempt. By the time the song hit Number One, Kendricks had left the group for a solo career. But he gave this one his all: Tempt Otis Williams said he left the studio at 6 a.m. the night they cut it, and Kendricks was still there, working out his part.",Anthology (Motown),The Temptations,"Norman Whitfield, Barrett Strong",Whitfield,"Jan. '71, Gordy",15 weeks; No. 1
Roxanne,"""That song has been the turnaround for us,"" Stewart Copeland told Rolling Stone. Sting came up with the idea for the song while wandering around the red-light district of Paris after a canceled show, wondering what it would be like to be in love with a prostitute. The title came from a poster for the play Cyrano de Bergerac — featuring a heroine named Roxanne — in the band's hotel lobby in Paris.",Outlandos d'Amour (Interscope),The Police,Sting,The Police,"Jan '79, A&M",13 weeks; No. 32
Tiny Dancer,"Lyricist Taupin wrote this 1971 song about his first wife, Maxine Feibelman, who really was a seamstress for John's band and obviously did marry a music man. John's skyrocketing melody got a little help from Paul Buckmaster's strings and from Rick Wakeman, soon to join prog-rockers Yes, who played organ. ""Tiny Dancer"" was revived in the 2000 film Almost Famous.",Madman Across the Water (Island),Elton John,"John, Bernie Taupin",Gus Dudgeon,"Nov. '71, Uni",7 weeks; No. 41
Know You Got Soul,"Rakim was the microphone fiend who was dripping steam. Eric B. was the DJ with the James Brown samples. They were New York legends before ever releasing a song (""Eric B. was driving a Rolls-Royce before he ever put out a record,"" Chris Rock once told Rolling Stone. ""My man was gangsta""), but this cut, named for a 1971 song by Brown sideman Bobby Byrd, made the whole world take notice.",Paid in Full (Island),Eric B. and Rakim,Eric B. and Rakim,Eric B. and Rakim,"July '87, 4th and Broadway",Did Not Chart
Stills,"On May 4th, 1970, the National Guard killed four protesters at Kent State University in Ohio. Young wrote a fiery indictment of the shootings, and CSNY cut their version of the song just 11 days after the tragedy, then rush-released it, knocking their own ""Teach Your Children"" off the charts. ""David Crosby cried when we finished this take,"" said Young.",Decade (Reprise),Crosby,Neil Young,"Crosby, Stills, Nash, Young","June '70, Atlantic",9 weeks; No. 14
Ticket to Ride,"Lennon claimed that this composition of his was the first heavy-metal song. For his part, McCartney played lead guitar. ""We almost invented the idea of a new bit of a song on the fade-out,"" he said of ""Ticket."" ""It was quite radical at the time.""",Help! (Capitol/Apple),The Beatles,"John Lennon, Paul McCartney",George Martin,"April '65, Capitol",11 weeks; No. 1
Whipping Post,"This anthem was written on an ironing board in a darkened Florida bedroom by Allman. Punctuated by Duane Allman's knifelike guitar incisions, the song is best appreciated in the 23-minute incarnation on At Fillmore East.",At Fillmore East (Mercury),The Allman Brothers Band,Gregg Allman,Tom Dowd,"Nov. '69, Capricorn",Non-single
Bitter Sweet Symphony,"Since it used a sample from an orchestral version of the Rolling Stones' ""The Last Time,"" this song was credited to Jagger–Richards. But Allen Klein, who owned the ""Last Time"" rights, broke an agreement and demanded 100 percent of the royalties. Ashcroft called it the best song the Stones had written in 20 years.",Urban Hymns (Virgin),The Verve,"Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth","Sept. '97, Virgin",20 weeks; No. 12
Tell It Like It Is,"""I heard 'Tell It Like It Is' and I said, 'Bro, this is the shit right here,'"" said Art Neville. Aaron was working as a longshoreman when he cut this sublime ballad. He originally felt something so sweet wouldn't catch on in an era of gritty R&B. ""A lot of people come up to me and say, 'That song got me and my wife together,'"" he recalled. ""And others say, 'It broke me and my wife up.'""",Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,"George Davis, Lee Diamond",Davis,"Nov. '66, Par Lo",14 weeks; No. 2
Goodbye Yellow Brick Road,"Inspired by the Rolling Stones' Goats Head Soup, John and lyricist Taupin went to Kingston, Jamaica, to record John's sixth album. ""The studio was surrounded by barbed wire,"" said Taupin, ""and there were guys with machine guns."" Too scared to leave their hotel, the duo wrote 21 songs in three days, including ""Goodbye Yellow Brick Road.""",Goodbye Yellow Brick Road (Island),Elton John,"John, Bernie Taupin",Gus Dudgeon,"Sept. '73, MCA",17 weeks; No. 2
Radio Free Europe,"""We hated it,"" said Peter Buck of the sound on the first version of ""Europe,"" on indie label Hib-Tone. ""It was mastered by a deaf man, apparently."" R.E.M. rerecorded it for Murmur, with a richer melody and tighter rhythm — ""like Motown,"" Buck recalled. Michael Stipe mumbled his lyrics — a vague riff on U.S. cultural imperialism — because he hadn't finished writing them when it was time to record.",Murmur (A&M),R.E.M.,R.E.M.,"Mitch Easter, Don Dixon","July '83, I.R.S.",5 weeks; No. 78
Pride (In the Name of Love),"The chords came from a 1983 soundcheck in Hawaii; the lyrics about Martin Luther King Jr. were inspired by an exhibit at Chicago's Peace Museum. With backing vocals by Pretenders singer Chrissie Hynde (credited as Mrs. Christine Kerr; she was married to Jim Kerr of Simple Minds at the time), the result was the band's first Top 40 hit.",The Unforgettable Fire (Island),U2,"Bono, the Edge, Adam Clayton, Larry Mullen Jr.","Brian Eno, Daniel Lanois","Oct. '84, Island",15 weeks; No. 33
Hit the Road Jack,"Charles asked Mayfield, a one-time R&B hitmaker whose performing career was curtailed by a car accident in 1952, if he had any songs for Charles to record. Mayfield offered up ""Hit the Road Jack."" The snarling female vocal was provided by Margie Hendricks of the Raelettes. Hendricks' affair with Charles produced a son in 1959; Charles fired her from the Raelettes in 1964.",Ultimate Hits Collection (Rhino),Ray Charles,Percy Mayfield,Sid Feller,"Sept. '61, ABC-Paramount",11 weeks; No. 1
Maps,"""Maps"" is both a soul ballad and an art-punk classic, with torrents of jagged guitar noise and thundering drums backing up Karen O's lovesick wail. The YYY's breakthrough hit was inspired by a case of real-life rock & roll romance: The Divine Miss O (real name Karen Orzolek) wrote the song about being on tour and missing her boyfriend, Angus Andrew, singer for fellow New York band Liars.",Fever to Tell (Interscope),Yeah Yeah Yeahs,Yeah Yeah Yeahs,David Andrew Sitek,"Feb. '04, Interscope",13 weeks; No. 87
Fake Plastic Trees,"Radiohead frontman Thom Yorke would describe ""Fake Plastic Trees"" as the song on which he found his lyrical voice. He cut the vocal, accompanying himself on acoustic guitar, in one take, then the band filled in its parts around him. Yorke said the song began as ""a very nice melody which I had no idea what to do with, then you wake up and find your head singing some words to it.""",The Bends (Capitol),Radiohead,Radiohead,John Leckie,"March '95, Capitol",4 weeks; No. 65
Another Brick in the Wall Part 2,"Waters' attack on teachers who practice ""dark sarcasm in the classroom"" was inspired by his own schoolmasters. ""The school I was at — they were really like that,"" Waters said. ""[All] they had to offer was their own bitterness and cynicism."" There are three versions of ""Another Brick"" on The Wall, but ""Part 2"" was the hit.",The Wall (Capitol),Pink Floyd,Roger Waters,"Bob Ezrin, Waters, David Gilmour","Nov. '79, Columbia",25 weeks; No. 1
Brown Eyed Handsome Man,"Berry was inspired to write this song while he was touring through heavily black and Latino areas of California. As Berry put it, ""I didn't see too many blue eyes."" He did see a good-looking Chicano nabbed for loitering until ""some woman came up shouting for the policeman to let him go."" Over a manic guitar lick, the song spins a riotous tale about a dark-eyed loverman.",The Anthology (Chess),Chuck Berry,Berry,"Leonard Chess, Phil Chess","Sept. '56, Chess",Did Not Chart
Wonderful World,"Cooke was rooming with Adler, who had already finished this song when Cooke came up with the academic conceit that made it work. Cut while Cooke was still signed to Keen, it sat around until he'd moved to RCA — then sold a million. Before it came out, Cooke liked to sing it for women he met, telling them he'd made it up on the spot just for them.",Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,"Cooke, Herb Alpert, Lou Adler","Cooke, Adler","May '60, RCA",15 weeks; No. 12
